From,Edge,To
92844,1,2502
67110,2,22141
57309,3,54463
3313,4,32205
86602,5,66485
32904,6,91502
94268,7,86828
10620,8,61011
18734,9,58251
84143,10,69645
57099,11,64958
50499,12,96440
70162,13,66085
21819,14,97782
19908,15,81642
94814,16,2437
46224,17,39238
6544,18,40979
5081,19,24365
80629,20,34251
110,21,22722
56809,22,19358
17680,23,72246
67733,24,91639
71622,25,99534
51204,26,75813
93087,27,65013
36963,28,71334
60460,29,96214
60594,30,24711
26869,31,48032
68988,32,39623
26731,33,38421
73040,34,73004
81812,35,64779
23328,36,46199
48588,37,97219
1385,38,36650
19951,39,25148
66606,40,59294
93425,41,87916
48424,42,21496
98960,43,83029
42578,44,57256
36894,45,93006
96570,46,52274
3851,47,59831
42263,48,74574
59179,49,90840
36364,50,88756
92485,51,61648
94933,52,89673
23739,53,2439
87339,54,86206
49412,55,76231
91217,56,38401
24389,57,17702
63141,58,31949
42433,59,51259
34623,60,942
10806,61,17354
91464,62,20480
54870,63,73570
27703,64,91755
34789,65,64205
86565,66,41279
77197,67,47402
47059,68,76414
86658,69,77513
61389,70,14604
25831,71,32085
69168,72,49056
82929,73,48416
62872,74,67939
89590,75,30371
64095,76,6982
5898,77,38409
56410,78,44028
72504,79,62122
71210,80,36225
3248,81,23012
99512,82,91860
97601,83,83034
25079,84,61875
74360,85,17414
24086,86,38854
49927,87,19266
23244,88,78129
64269,89,80490
99697,90,87318
45852,91,12853
2015,92,9708
19859,93,15125
78452,94,4627
79950,95,1497
64695,96,29763
54113,97,32715
32869,98,26150
42134,99,27084
43204,100,61913
23690,101,48736
17562,102,10518
40477,103,24001
94435,104,71371
85833,105,35460
54982,106,68558
78901,107,21143
13351,108,72426
19461,109,48708
58353,110,66055
15755,111,60471
77400,112,10042
78329,113,12967
68516,114,77403
55112,115,63880
45302,116,85036
85699,117,19169
12204,118,82420
77131,119,58007
91364,120,88391
86570,121,47392
61343,122,60179
13262,123,96818
97924,124,38078
80896,125,60776
54722,126,17616
78655,127,84723
81605,128,40049
89393,129,16198
47254,130,76398
41935,131,19272
16976,132,28386
17646,133,6688
84583,134,78720
95196,135,70809
67392,136,80082
3954,137,37036
3322,138,79924
74427,139,4049
70634,140,85656
54271,141,815
94991,142,67182
5312,143,13344
71692,144,56452
25689,145,96312
50679,146,73637
48037,147,34569
79988,148,72444
7807,149,53952
53440,150,36754
68821,151,39059
28004,152,98933
77318,153,8226
70631,154,91415
7512,155,29042
44857,156,43616
24561,157,41214
4090,158,65711
91770,159,61145
66426,160,45602
75849,161,33900
92302,162,68784
33766,163,22166
64672,164,66502
29725,165,28653
53865,166,12359
33249,167,95043
23808,168,754
65939,169,58610
55795,170,35718
77295,171,86854
10718,172,66577
33873,173,44142
69890,174,8681
70229,175,64361
22153,176,13753
3837,177,79518
18911,178,93815
89240,179,85828
52635,180,76734
34569,181,23752
37764,182,20135
556,183,14689
29632,184,95495
69379,185,72740
21708,186,26084
96598,187,55264
80167,188,76261
16354,189,18675
6449,190,54858
63003,191,50588
96170,192,98733
1056,193,43279
43425,194,20106
36456,195,10490
77103,196,50719
41119,197,81814
75405,198,24751
6784,199,34525
70502,200,1234
27196,201,89972
92822,202,75543
19067,203,8574
44480,204,50873
92981,205,7
20573,206,92898
83936,207,73254
62037,208,22517
62428,209,8459
70993,210,9338
69691,211,34774
10624,212,40070
62843,213,58801
8944,214,84616
69272,215,37686
73140,216,7257
26128,217,2297
15193,218,19321
57855,219,30329
3393,220,87632
42086,221,39420
11812,222,44217
18233,223,50926
68786,224,54835
99672,225,22690
81821,226,2868
83138,227,71902
91477,228,52684
89968,229,10152
77339,230,85328
18458,231,67042
61124,232,94052
1287,233,35127
71298,234,26039
66736,235,73609
8571,236,10694
10205,237,88689
3892,238,7536
14107,239,58491
12274,240,49594
88003,241,20625
25088,242,7574
73541,243,48056
44269,244,32530
55913,245,88187
81428,246,25861
91982,247,43621
42282,248,68446
24420,249,47334
7964,250,49770
87427,251,3220
28936,252,23589
47857,253,51816
79722,254,92210
76456,255,51458
52477,256,12825
2955,257,22101
45411,258,71689
72553,259,56935
49363,260,20234
15183,261,94221
14351,262,32333
3275,263,240
50888,264,43317
34375,265,89241
34905,266,32075
98268,267,31359
77754,268,64744
35815,269,60594
96774,270,37962
88232,271,96690
21455,272,67090
36103,273,56258
91937,274,81693
61706,275,84022
32561,276,27304
2411,277,66640
36902,278,60293
47519,279,23202
70512,280,11467
95816,281,76477
42497,282,79292
27755,283,80256
14098,284,31151
17961,285,13235
39539,286,31048
73184,287,34224
32901,288,59965
49317,289,61256
58315,290,97417
4573,291,86128
18342,292,93140
30949,293,74398
1365,294,59351
31465,295,29365
85052,296,38987
5628,297,58222
28638,298,89910
72888,299,72686
32044,300,89037
43961,301,6301
17325,302,74534
24609,303,46154
18892,304,50768
9461,305,57808
26501,306,35587
50224,307,18050
35676,308,93779
50536,309,24648
47854,310,75783
93683,311,18664
30423,312,14904
62563,313,87760
77961,314,38048
17720,315,18356
29335,316,18433
12078,317,76290
63115,318,47620
93344,319,40966
859,320,43166
8342,321,91520
81592,322,31811
66140,323,67037
7530,324,45947
20545,325,76244
37577,326,39514
13227,327,43540
78185,328,36136
21520,329,9619
602,330,59276
65357,331,98511
9048,332,19481
31390,333,1295
44182,334,99112
1072,335,68077
56496,336,92368
96264,337,12248
66460,338,36486
58055,339,64481
31614,340,23088
42297,341,33478
25968,342,71148
71789,343,89563
98594,344,20877
71024,345,56533
33471,346,51761
17622,347,14050
53372,348,72413
46456,349,62577
37777,350,41503
58714,351,30632
84717,352,29624
32811,353,25720
78256,354,67297
3450,355,74234
31428,356,77797
52160,357,34911
15702,358,39677
71034,359,98690
74800,360,63170
55720,361,27468
91468,362,809
60547,363,19707
30799,364,38002
61913,365,97349
89928,366,8475
28272,367,21748
66376,368,71819
39454,369,71996
92283,370,65102
84061,371,77045
72080,372,61030
86637,373,62358
3639,374,8170
15806,375,30360
49160,376,8598
44829,377,50610
73212,378,46469
56044,379,7479
80426,380,28789
30365,381,32717
23075,382,20475
15421,383,98358
50247,384,22527
83516,385,94994
72602,386,73845
1515,387,88665
13619,388,50871
40537,389,83393
15438,390,80993
10746,391,63102
95806,392,80228
52816,393,66242
97438,394,71913
60333,395,91560
78676,396,82430
85363,397,9849
29713,398,25492
5008,399,85009
56846,400,17217
4585,401,14555
88622,402,45760
46219,403,82035
3524,404,3345
10935,405,65293
18910,406,21688
29289,407,76233
58231,408,73917
95681,409,57390
80119,410,36847
55806,411,62870
41934,412,29631
81602,413,99515
21456,414,30023
87581,415,13720
64878,416,8319
25251,417,66968
71628,418,99017
64960,419,43780
47008,420,27107
86639,421,98831
78201,422,67741
58317,423,64581
77115,424,59021
94968,425,32527
21997,426,1495
63413,427,97875
55338,428,32669
40369,429,6512
59882,430,46109
88192,431,39559
98206,432,64320
49301,433,35287
7342,434,59110
91733,435,43807
32984,436,31724
11546,437,23017
98952,438,21948
13354,439,49550
71361,440,31383
19663,441,87708
66624,442,86790
45918,443,62434
74896,444,3544
4273,445,62938
55884,446,53301
20920,447,69014
73552,448,33159
94487,449,65620
45094,450,30503
14618,451,58089
17434,452,81798
76263,453,91229
42099,454,21660
55951,455,27063
71887,456,2482
81208,457,73375
34267,458,72874
10826,459,3611
69116,460,51373
77905,461,39238
82320,462,72890
72952,463,76087
69870,464,78671
74514,465,53790
79927,466,45604
91,467,15130
1826,468,99373
27965,469,73246
15201,470,55200
99426,471,1213
97784,472,25530
88980,473,97773
60067,474,53082
67405,475,47837
23732,476,22874
71004,477,93793
28745,478,71411
88876,479,8165
33947,480,89219
83509,481,3370
86683,482,26959
69818,483,26901
29142,484,88264
97501,485,8895
14484,486,32797
23939,487,85543
13870,488,53314
50826,489,98379
36485,490,14993
92133,491,20329
60488,492,11166
23091,493,40611
65488,494,10233
72665,495,45846
48730,496,16849
40619,497,25033
8277,498,71636
18993,499,36375
20419,500,69421
78179,501,51718
74943,502,42794
22402,503,17076
89467,504,68922
63452,505,7424
68862,506,912
9455,507,19893
20615,508,52247
66325,509,74094
77045,510,45332
90869,511,80003
75144,512,83415
72626,513,9395
90605,514,81803
96146,515,35275
20844,516,41943
19854,517,66330
35974,518,31616
78433,519,67195
52478,520,24159
99113,521,11353
28832,522,36004
23915,523,35508
84120,524,57795
5632,525,22700
5245,526,64444
4459,527,79119
85138,528,74996
55544,529,55214
24000,530,48117
92457,531,84776
79617,532,61728
16819,533,52415
30492,534,47798
26807,535,23484
62852,536,78136
84058,537,3980
89847,538,27472
59499,539,30267
84217,540,84740
52749,541,78132
21807,542,90051
40764,543,77709
80067,544,36001
3201,545,18489
22105,546,98067
76200,547,72590
16966,548,99621
62598,549,42396
95652,550,84835
30845,551,75545
12693,552,41110
61294,553,272
80157,554,39181
31183,555,89450
67420,556,59421
74619,557,88404
72011,558,20272
27549,559,60313
139,560,43300
22832,561,26658
77277,562,61132
23849,563,97546
86912,564,19916
31679,565,34325
65742,566,42673
55554,567,61732
25736,568,84429
66069,569,74369
29909,570,58188
72395,571,24619
95303,572,53761
1085,573,3528
33116,574,68784
51848,575,97618
23335,576,75488
38297,577,15545
71200,578,20160
5572,579,64613
3175,580,88051
43139,581,84415
51004,582,2614
52100,583,42141
80686,584,45180
18376,585,52775
59534,586,83879
36133,587,51069
30553,588,58770
84237,589,9457
77536,590,3172
80133,591,48318
48398,592,82097
14811,593,75980
56109,594,5195
60511,595,8209
68967,596,7395
21233,597,86630
45911,598,24915
45531,599,22562
7190,600,31835
8060,601,52395
76210,602,69899
68485,603,45032
114,604,62201
34974,605,15037
51983,606,98366
47961,607,55938
64349,608,5383
75049,609,45510
41031,610,92573
53493,611,21842
38520,612,78054
87899,613,34940
90187,614,90637
66730,615,76997
11386,616,32334
63794,617,13341
73697,618,67044
82100,619,79080
80256,620,83566
56756,621,69352
89376,622,59153
30696,623,68575
14666,624,77575
99962,625,17761
10575,626,33702
60223,627,12783
26668,628,66724
95146,629,97751
99665,630,50156
75331,631,79958
33821,632,16445
53811,633,93697
40269,634,60125
17656,635,97649
59700,636,52271
23575,637,11372
11771,638,70488
70276,639,56973
24314,640,7178
55501,641,78639
9394,642,36684
53997,643,21270
29753,644,79945
25816,645,6863
39033,646,11495
79429,647,68346
76075,648,35973
21739,649,26974
65507,650,1374
52582,651,99118
74700,652,38379
17845,653,42996
74170,654,52097
41659,655,9289
51285,656,52832
58624,657,42987
97976,658,25682
41970,659,88195
12357,660,31006
55104,661,85052
64389,662,18577
17836,663,85161
15737,664,80513
55126,665,51413
22466,666,1997
6859,667,10145
58046,668,39100
26794,669,78352
53442,670,7769
47892,671,30599
97878,672,38936
48751,673,56713
57579,674,56303
42573,675,10701
17450,676,7170
89903,677,87413
58961,678,31968
52804,679,43284
44602,680,40049
62856,681,2730
91713,682,96265
43711,683,73648
61586,684,49670
84547,685,9637
11876,686,82941
33909,687,5048
49197,688,63754
73847,689,88698
34927,690,96038
53976,691,92477
24315,692,72336
94577,693,3361
81009,694,73600
17442,695,52866
70775,696,36135
19755,697,40651
57011,698,88470
81630,699,64324
80742,700,54612
36633,701,55466
30657,702,34515
97695,703,79286
53141,704,33153
39498,705,85572
71455,706,12248
93397,707,52068
84067,708,13302
16024,709,180
10704,710,61739
40482,711,94148
35664,712,27113
37302,713,73561
37831,714,55241
36095,715,3504
27869,716,245
56234,717,44623
19352,718,57540
48065,719,68601
46248,720,31629
42519,721,61312
44790,722,66853
40421,723,579
14077,724,90399
19904,725,87554
83583,726,29962
76742,727,94451
47090,728,72278
17490,729,38800
57875,730,24711
25982,731,12148
51421,732,4325
67503,733,25864
29316,734,2945
69363,735,68793
36066,736,83643
25033,737,73939
28276,738,17848
22815,739,20516
62875,740,78556
12388,741,2054
2959,742,43021
15731,743,79667
37219,744,24312
47046,745,92210
86972,746,90620
374,747,9955
51734,748,72306
13245,749,60550
50223,750,3458
78455,751,13453
944,752,52208
51997,753,27049
11775,754,6475
10086,755,78911
35339,756,73272
77020,757,21828
9301,758,26862
68406,759,65559
97261,760,8792
51882,761,84701
99927,762,43725
24418,763,88277
31546,764,64636
97198,765,76083
83653,766,80712
22829,767,19183
8876,768,14985
70241,769,39805
60696,770,61092
39216,771,94879
18749,772,90614
22201,773,74213
97746,774,86674
14590,775,76849
15614,776,62524
94556,777,8030
87620,778,62122
12773,779,98727
79526,780,20684
52419,781,86091
69847,782,41755
34973,783,27659
72426,784,13186
33794,785,90111
53977,786,80396
86232,787,6561
96077,788,31224
57714,789,72091
95872,790,69301
52092,791,87369
42865,792,78649
74561,793,44398
11101,794,34004
56271,795,84293
9600,796,10767
50100,797,67591
50397,798,28250
44348,799,25596
1479,800,48689
68307,801,31536
67085,802,5640
6904,803,75509
64384,804,87106
68058,805,62588
13840,806,43261
12002,807,69990
176,808,96414
45775,809,33734
73622,810,24253
48681,811,15233
86330,812,9156
85965,813,48244
