from,edge,to
418,1,249
418,1,249
346,2,777
346,2,777
631,3,419
631,3,419
177,4,402
177,4,402
339,5,553
339,5,553
870,6,910
870,6,910
706,7,336
706,7,336
489,8,978
489,8,978
580,9,460
580,9,460
90,10,423
90,10,423
762,11,558
762,11,558
923,12,729
923,12,729
289,13,387
289,13,387
312,14,590
312,14,590
874,15,230
874,15,230
438,16,672
438,16,672
383,17,524
383,17,524
821,18,325
821,18,325
794,19,749
794,19,749
283,20,477
283,20,477
419,21,11
419,21,11
304,22,744
304,22,744
727,23,986
727,23,986
908,24,641
908,24,641
261,25,664
261,25,664
904,26,174
904,26,174
493,27,328
493,27,328
968,28,717
968,28,717
883,29,4
883,29,4
487,30,709
487,30,709
352,31,231
352,31,231
985,32,331
985,32,331
251,33,423
251,33,423
612,34,955
612,34,955
777,35,770
777,35,770
532,36,811
532,36,811
838,37,797
838,37,797
371,38,95
371,38,95
931,39,528
931,39,528
713,40,724
713,40,724
510,41,980
510,41,980
639,42,368
639,42,368
476,43,509
476,43,509
197,44,596
197,44,596
587,45,878
587,45,878
634,46,378
634,46,378
349,47,94
349,47,94
567,48,762
567,48,762
502,49,965
502,49,965
343,50,154
343,50,154
601,51,36
601,51,36
445,52,750
445,52,750
5,53,268
5,53,268
449,54,375
449,54,375
87,55,865
87,55,865
859,56,429
859,56,429
632,57,258
632,57,258
420,58,299
420,58,299
226,59,278
226,59,278
476,60,764
476,60,764
117,61,131
117,61,131
558,62,122
558,62,122
666,63,124
666,63,124
80,64,305
80,64,305
711,65,417
711,65,417
948,66,239
948,66,239
746,67,290
746,67,290
820,68,723
820,68,723
379,69,428
379,69,428
647,70,669
647,70,669
831,71,792
831,71,792
157,72,560
157,72,560
605,73,150
605,73,150
47,74,679
47,74,679
471,75,750
471,75,750
265,76,21
265,76,21
302,77,588
302,77,588
989,78,432
989,78,432
501,79,730
501,79,730
954,80,421
954,80,421
933,81,479
933,81,479
386,82,954
386,82,954
40,83,189
40,83,189
270,84,278
270,84,278
719,85,790
719,85,790
636,86,280
636,86,280
320,87,587
320,87,587
832,88,304
832,88,304
674,89,409
674,89,409
612,90,171
612,90,171
109,91,371
109,91,371
104,92,998
104,92,998
933,93,803
933,93,803
69,94,434
69,94,434
524,95,731
524,95,731
477,96,664
477,96,664
525,97,632
525,97,632
564,98,441
564,98,441
306,99,551
306,99,551
3,100,944
3,100,944
517,101,886
517,101,886
561,102,31
561,102,31
962,103,67
962,103,67
662,104,899
662,104,899
274,105,206
274,105,206
87,106,857
87,106,857
512,107,668
512,107,668
559,108,635
559,108,635
341,109,740
341,109,740
1,110,576
1,110,576
525,111,26
525,111,26
513,112,39
513,112,39
698,113,570
698,113,570
238,114,301
238,114,301
640,115,73
640,115,73
190,116,360
190,116,360
554,117,964
554,117,964
52,118,760
52,118,760
505,119,555
505,119,555
262,120,26
262,120,26
985,121,919
985,121,919
696,122,107
696,122,107
715,123,666
715,123,666
15,124,368
15,124,368
118,125,363
118,125,363
750,126,875
750,126,875
627,127,987
627,127,987
780,128,54
780,128,54
279,129,197
279,129,197
508,130,375
508,130,375
282,131,30
282,131,30
198,132,640
198,132,640
182,133,8
182,133,8
681,134,469
681,134,469
1000,135,832
1000,135,832
316,136,82
316,136,82
923,137,586
923,137,586
662,138,41
662,138,41
780,139,685
780,139,685
76,140,129
76,140,129
419,141,327
419,141,327
55,142,248
55,142,248
86,143,799
86,143,799
391,144,474
391,144,474
235,145,769
235,145,769
214,146,904
214,146,904
120,147,344
120,147,344
282,148,891
282,148,891
708,149,685
708,149,685
592,150,518
592,150,518
517,151,908
517,151,908
763,152,175
763,152,175
295,153,700
295,153,700
163,154,214
163,154,214
188,155,724
188,155,724
163,156,551
163,156,551
563,157,342
563,157,342
495,158,57
495,158,57
701,159,863
701,159,863
439,160,651
439,160,651
338,161,833
338,161,833
531,162,884
531,162,884
241,163,162
241,163,162
427,164,981
427,164,981
525,165,836
525,165,836
210,166,572
210,166,572
799,167,102
799,167,102
832,168,201
832,168,201
566,169,129
566,169,129
157,170,44
157,170,44
90,171,144
90,171,144
222,172,278
222,172,278
61,173,944
61,173,944
738,174,928
738,174,928
972,175,6
972,175,6
523,176,244
523,176,244
342,177,598
342,177,598
479,178,816
479,178,816
327,179,6
327,179,6
375,180,562
375,180,562
717,181,42
717,181,42
809,182,29
809,182,29
924,183,656
924,183,656
820,184,104
820,184,104
995,185,756
995,185,756
170,186,593
170,186,593
197,187,926
197,187,926
791,188,837
791,188,837
642,189,571
642,189,571
797,190,242
797,190,242
835,191,630
835,191,630
872,192,123
872,192,123
502,193,311
502,193,311
960,194,348
960,194,348
677,195,388
677,195,388
785,196,583
785,196,583
827,197,810
827,197,810
997,198,48
997,198,48
111,199,923
111,199,923
259,200,544
259,200,544
340,201,733
340,201,733
930,202,100
930,202,100
731,203,91
731,203,91
258,204,250
258,204,250
789,205,647
789,205,647
440,206,839
440,206,839
286,207,867
286,207,867
806,208,558
806,208,558
67,209,548
67,209,548
130,210,36
130,210,36
774,211,208
774,211,208
742,212,600
742,212,600
890,213,854
890,213,854
553,214,658
553,214,658
959,215,906
959,215,906
473,216,710
473,216,710
129,217,653
129,217,653
98,218,275
98,218,275
524,219,650
524,219,650
23,220,693
23,220,693
704,221,280
704,221,280
976,222,233
976,222,233
600,223,837
600,223,837
167,224,351
167,224,351
410,225,944
410,225,944
397,226,142
397,226,142
190,227,782
190,227,782
845,228,471
845,228,471
315,229,217
315,229,217
290,230,490
290,230,490
685,231,1000
685,231,1000
917,232,969
917,232,969
695,233,607
695,233,607
457,234,111
457,234,111
132,235,784
132,235,784
464,236,998
464,236,998
637,237,526
637,237,526
850,238,344
850,238,344
89,239,248
89,239,248
920,240,593
920,240,593
587,241,829
587,241,829
319,242,618
319,242,618
701,243,522
701,243,522
581,244,825
581,244,825
246,245,887
246,245,887
118,246,39
118,246,39
736,247,834
736,247,834
384,248,57
384,248,57
562,249,76
562,249,76
517,250,774
517,250,774
333,251,254
333,251,254
540,252,292
540,252,292
495,253,511
495,253,511
537,254,987
537,254,987
254,255,639
254,255,639
974,256,885
974,256,885
251,257,197
251,257,197
732,258,960
732,258,960
660,259,372
660,259,372
379,260,287
379,260,287
763,261,395
763,261,395
108,262,9
108,262,9
822,263,934
822,263,934
961,264,288
961,264,288
370,265,835
370,265,835
960,266,671
960,266,671
144,267,186
144,267,186
492,268,27
492,268,27
658,269,550
658,269,550
365,270,26
365,270,26
8,271,554
8,271,554
826,272,931
826,272,931
27,273,785
27,273,785
771,274,722
771,274,722
631,275,214
631,275,214
169,276,437
169,276,437
614,277,249
614,277,249
86,278,319
86,278,319
838,279,606
838,279,606
94,280,145
94,280,145
175,281,895
175,281,895
425,282,964
425,282,964
939,283,202
939,283,202
516,284,406
516,284,406
722,285,566
722,285,566
926,286,510
926,286,510
955,287,214
955,287,214
83,288,559
83,288,559
112,289,343
112,289,343
378,290,334
378,290,334
238,291,574
238,291,574
469,292,794
469,292,794
313,293,283
313,293,283
130,294,154
130,294,154
841,295,282
841,295,282
474,296,927
474,296,927
735,297,228
735,297,228
274,298,45
274,298,45
548,299,867
548,299,867
409,300,613
409,300,613
456,301,310
456,301,310
379,302,94
379,302,94
220,303,35
220,303,35
324,304,881
324,304,881
328,305,715
328,305,715
418,306,503
418,306,503
724,307,239
724,307,239
313,308,900
313,308,900
252,309,772
252,309,772
795,310,77
795,310,77
868,311,246
868,311,246
220,312,341
220,312,341
631,313,265
631,313,265
989,314,125
989,314,125
750,315,935
750,315,935
954,316,134
954,316,134
860,317,111
860,317,111
987,318,426
987,318,426
129,319,522
129,319,522
868,320,402
868,320,402
457,321,693
457,321,693
663,322,349
663,322,349
45,323,714
45,323,714
981,324,632
981,324,632
563,325,344
563,325,344
291,326,910
291,326,910
868,327,602
868,327,602
109,328,805
109,328,805
276,329,224
276,329,224
686,330,977
686,330,977
447,331,691
447,331,691
932,332,51
932,332,51
88,333,636
88,333,636
812,334,558
812,334,558
576,335,502
576,335,502
42,336,301
42,336,301
645,337,159
645,337,159
368,338,862
368,338,862
69,339,778
69,339,778
425,340,751
425,340,751
315,341,26
315,341,26
708,342,923
708,342,923
883,343,965
883,343,965
177,344,174
177,344,174
239,345,196
239,345,196
316,346,144
316,346,144
110,347,904
110,347,904
83,348,272
83,348,272
592,349,363
592,349,363
670,350,943
670,350,943
161,351,83
161,351,83
611,352,612
611,352,612
283,353,101
283,353,101
227,354,724
227,354,724
487,355,917
487,355,917
418,356,615
418,356,615
809,357,607
809,357,607
526,358,898
526,358,898
155,359,994
155,359,994
290,360,308
290,360,308
765,361,272
765,361,272
545,362,924
545,362,924
400,363,493
400,363,493
45,364,365
45,364,365
84,365,558
84,365,558
227,366,291
227,366,291
955,367,347
955,367,347
219,368,153
219,368,153
583,369,333
583,369,333
464,370,23
464,370,23
719,371,980
719,371,980
344,372,773
344,372,773
10,373,892
10,373,892
257,374,222
257,374,222
10,375,88
10,375,88
919,376,550
919,376,550
955,377,740
955,377,740
957,378,954
957,378,954
839,379,672
839,379,672
919,380,862
919,380,862
522,381,298
522,381,298
552,382,682
552,382,682
324,383,270
324,383,270
786,384,598
786,384,598
416,385,430
416,385,430
276,386,906
276,386,906
460,387,262
460,387,262
701,388,206
701,388,206
344,389,649
344,389,649
502,390,484
502,390,484
564,391,262
564,391,262
572,392,755
572,392,755
403,393,760
403,393,760
308,394,106
308,394,106
821,395,921
821,395,921
387,396,804
387,396,804
904,397,189
904,397,189
39,398,522
39,398,522
101,399,507
101,399,507
526,400,69
526,400,69
878,401,935
878,401,935
643,402,595
643,402,595
947,403,47
947,403,47
214,404,347
214,404,347
737,405,334
737,405,334
597,406,370
597,406,370
447,407,871
447,407,871
360,408,202
360,408,202
542,409,952
542,409,952
530,410,37
530,410,37
225,411,961
225,411,961
138,412,352
138,412,352
572,413,9
572,413,9
138,414,438
138,414,438
163,415,897
163,415,897
206,416,338
206,416,338
91,417,114
91,417,114
868,418,183
868,418,183
191,419,189
191,419,189
757,420,923
757,420,923
136,421,774
136,421,774
976,422,223
976,422,223
728,423,492
728,423,492
659,424,75
659,424,75
194,425,585
194,425,585
292,426,14
292,426,14
361,427,914
361,427,914
753,428,588
753,428,588
632,429,96
632,429,96
321,430,401
321,430,401
243,431,981
243,431,981
799,432,187
799,432,187
989,433,394
989,433,394
429,434,757
429,434,757
800,435,702
800,435,702
148,436,900
148,436,900
960,437,966
960,437,966
495,438,659
495,438,659
379,439,662
379,439,662
319,440,729
319,440,729
240,441,204
240,441,204
426,442,647
426,442,647
438,443,410
438,443,410
348,444,156
348,444,156
837,445,216
837,445,216
664,446,796
664,446,796
205,447,383
205,447,383
640,448,614
640,448,614
223,449,697
223,449,697
728,450,200
728,450,200
451,451,772
451,451,772
51,452,366
51,452,366
346,453,597
346,453,597
693,454,86
693,454,86
94,455,875
94,455,875
784,456,293
784,456,293
170,457,856
170,457,856
333,458,616
333,458,616
237,459,535
237,459,535
117,460,282
117,460,282
438,461,320
438,461,320
958,462,583
958,462,583
984,463,592
984,463,592
857,464,161
857,464,161
772,465,700
772,465,700
11,466,248
11,466,248
729,467,14
729,467,14
847,468,634
847,468,634
208,469,334
208,469,334
735,470,52
735,470,52
608,471,709
608,471,709
880,472,940
880,472,940
781,473,919
781,473,919
299,474,442
299,474,442
225,475,501
225,475,501
215,476,893
215,476,893
742,477,856
742,477,856
491,478,926
491,478,926
505,479,94
505,479,94
948,480,886
948,480,886
304,481,763
304,481,763
936,482,765
936,482,765
579,483,920
579,483,920
28,484,419
28,484,419
610,485,241
610,485,241
434,486,509
434,486,509
670,487,59
670,487,59
327,488,347
327,488,347
48,489,92
48,489,92
903,490,373
903,490,373
809,491,788
809,491,788
743,492,491
743,492,491
116,493,630
116,493,630
558,494,256
558,494,256
793,495,469
793,495,469
939,496,717
939,496,717
533,497,105
533,497,105
67,498,412
67,498,412
872,499,797
872,499,797
256,500,735
256,500,735
728,501,33
