from,edge,to
563,1,646
829,2,179
442,3,788
718,4,874
850,5,309
349,6,141
309,7,895
686,8,249
125,9,621
363,10,895
518,11,359
637,12,100
458,13,294
75,14,363
873,15,172
622,16,869
271,17,886
893,18,655
702,19,176
529,20,611
229,21,581
243,22,451
315,23,300
475,24,920
644,25,767
352,26,65
396,27,778
922,28,825
382,29,493
730,30,794
209,31,39
781,32,324
449,33,1000
165,34,467
815,35,638
382,36,911
899,37,170
578,38,787
458,39,774
828,40,253
903,41,825
612,42,627
66,43,988
971,44,252
125,45,666
772,46,101
676,47,877
23,48,558
643,49,687
636,50,357
611,51,159
825,52,128
940,53,237
735,54,83
713,55,126
881,56,64
887,57,604
451,58,223
232,59,11
192,60,559
75,61,467
148,62,906
478,63,84
538,64,597
526,65,73
619,66,552
481,67,363
113,68,834
546,69,260
321,70,639
645,71,207
389,72,298
313,73,101
711,74,314
291,75,542
885,76,434
622,77,512
696,78,955
500,79,840
284,80,169
989,81,147
659,82,29
850,83,365
216,84,537
644,85,789
557,86,53
739,87,561
619,88,671
324,89,713
160,90,164
552,91,501
829,92,767
976,93,533
37,94,365
130,95,75
758,96,119
443,97,702
774,98,295
609,99,747
907,100,938
12,101,874
125,102,743
413,103,997
182,104,464
999,105,54
446,106,21
65,107,968
938,108,333
250,109,954
418,110,765
93,111,272
196,112,660
346,113,23
263,114,652
734,115,413
435,116,212
824,117,196
107,118,166
987,119,493
149,120,771
372,121,35
785,122,472
415,123,723
11,124,244
342,125,923
331,126,807
415,127,653
324,128,599
741,129,354
920,130,926
921,131,123
345,132,389
54,133,106
864,134,21
982,135,226
687,136,403
491,137,743
465,138,848
520,139,450
714,140,889
727,141,593
440,142,627
891,143,521
338,144,20
995,145,869
129,146,518
996,147,206
290,148,499
173,149,936
435,150,145
699,151,121
599,152,133
689,153,832
512,154,911
547,155,242
947,156,625
702,157,807
343,158,46
483,159,729
236,160,9
536,161,557
582,162,8
702,163,447
291,164,386
898,165,319
